Common Name,Botanical Name,Water,Humidity,Light,Night Temp,life span,max len,max diameter,toxicity to pets,Sandy,Clay,Silt,Peat,Chalk,Loam,Soil-less,Category,IMG
Chinese Evergreen ,Aglaonema commutatum ,I ,L-M ,L ,60-65,20-25,100-150,30-45,1,0,0,0,1,0,1,0,Other,https://cdn.shopify.com/s/files/1/1706/1307/products/Aglaonema-Stripes-Chinese-Evergreen-1.jpg?v=1546699652
Croton ,Codiaeum ,I ,H ,H ,60-65,20-25,100-250,100-180,1,0,0,0,1,0,1,0,Other,https://images-na.ssl-images-amazon.com/images/I/81h5XEAyZ3L._SX425_.jpg
Cyclamen ,Cyclamen persicum ,I ,H ,H ,50-55,0.15-0.5,25-35,5-15,1,0,0,0,1,0,1,0,Other,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxITEhUTEhMWFhUXFxgYGBgYFxgaGBcYGBcXGBgYHh8YHSggGBolGxgVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGxAQGy0mICYtLSstNS0tLS0rLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLS0tLf/AABEIAQkAvgMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAABQQGAQIDBwj/xAA8EAABAwIEAggEBAYCAgMAAAABAAIRAyEEBRIxQVEGEyJhcYGRoTKxwdEU4fDxByNCUmJyM5IVghYksv/EABoBAAIDAQEAAAAAAAAAAAAAAAAEAQIDBQb/xAAuEQADAAICAgEDAQYHAAAAAAAAAQIDEQQhEjFBEyJhUTKBocHR8AUUI3Gx4fH/2gAMAwEAAhEDEQA/APcUIQgAQhCABCEIAELDjZL34lzbzKtMuvRaYdehihcqFcObqC4MxOqpA2Eo8X2Ch9/gmIXJ9YAgcSuqrojQIQhBAIQhAAhCEACEIQAIQhAAhCEACEIQAIQhAAhCEAa1GyCEhx7nMOl3keasCjY7CCowtPkeRWuK1Nd+jbDkUV36EGX40t1NmxHy/dbVMX1TS4G/sEortc15YfikDzJTnEYJkBpvG/eU/cwnv9TqZIhNN+maZK9z3a3GSeaswVfwtVjDGynvzNoMBK5pdV0hLkxV3uUMkKNQxQK3OIbq08Uv4sUcPejshYlYc4BVKmyFDpYyXRptzlTFLTXsly17BCEKCAQhCABCEIAEIQgAQhCABCgYzEEOgGIXXBYrWO8K7h62XeNqfIlLR9QDcqNmWObSYSTfgO9IMZmBkEngr4sLs1w8esnfwY6WOayrRdxLmz3wTH1XKrjTMOBaTtIInwlS8Bjg+owkAkNInwP2K79KaTX0JJ0lrgQfOCPMH5JqX9NzFIfivBxiufxv94jxle89wW2Hxc2OyVPxIMkLNGrddBY05On9D7dMslLFFrolbNxU1p7h9UnqViQ2OE/RTMlpuqP7N43PAJW8alOmJXhmZdMY55nzsPohoIcDvPBZGcCowPbxG3LuSn+IDA2mwcRefb6qv5Rji1oYdjJ+SwxY4pJkcfhxkwK0uy8YSvACk4jMA7sjjayqxzS4A802y9gE1eew5HiVN4l+0zLLxlP3V+4cUqzmN7Rlx2HL811w+JJeWkRb1SF2LOoc06wuKDonceyxyYnK3oUy4XK3oYIWFlKiYIQhAAhCEACEKHmGOFMbEk7D9bKUm3pEzLp6RxzmidOtu7d+8fkkeAzCHb7qVWzmpyEfrmljqdN2w0nmPsujhxtR42jrcfE1Dm0R8djiajw52ot2J8fsuuEzGRocA5p3CU4tpY5+ogucRtyA+v0XChVgpucac6OouNNR/f6DjCA0qmkmRMtPMELbpVmbg1rG8ZJ8uH65KHi6ximeTo9RP0SzHvqYh5NJj3htuy0nbnCxySk9spOJO5yX8EZuIK2OLhcXYSoG6nCO7j+SW4jFSIPxD3H5K05nPs6WNzT0/RYcRmUNHeFZeg+KDYB3qm3kCfRedOxANIA76reEX+ie4bM6jKbDRdpLYBcIiOPyFuMKme/NORTm4FWJ418lw6e4Bz2MeNh2XdwMEH5+qpmMLQaYadgfmPzUTPelGIe9jarnOpkgCGgN1X3jeLbrRzSTJcLDb9bLDAvHpmPBx1jjwt+v5jXByTKs9TEw0AbAKB0Yp09D3u0uAAbFiJd+xUvHYQaJp2gXHCO5MeSddmebJNZPF/BxoPkyrBlFFxuNtp+aquXPdUeGMBN+04CQB91fcKGtYBsAseVelpCXPrwXiiQsrAcsrnHHBCEIAEIQgAS7OKMtDuITFaVKYcCDsVaK8a2XivGkyo1aihVHAKx1+j7SZa8jxEpRnWTOpU3VJ1hokgC8cSunj5GL1s7OHkYW0tibG0dQ1DdJH1oKZDE/y3VW3a2NXMTsSOXelOMrsqtL22eBq7nDifH7JlZJXpna47S6fr/gZVcSTTAbcmY9PzW/RfMqjanUsMB82JIAIBN/HafBJsv6yo0dWO0x0g3g7SJ8lbBiGspluljC+Osdu5x8T8IWOTdvpC/Lx6+yVvf97OOYWJD2FveLhU/pJhW06jHAyHXHl8k+x9VxINMhzYvMgg85nZcsKzWQ8wXUw+xAM6gBx8EZFudF43EbOHRLJ+uqEkdhvxTtBm3mtummDxFKXCmeqa3sFnwSbRbYyrT0bqtNKqWNDCCJgWJM8OGyzXxJ+FwDhOxAInzWKiq2pE3my1levjoqvQzIKlYmpXtRB24vIv5AHir1RcyiNNKmxo8Bfv5k9654fGtI02aO6wUfOsxw9JhIeHP2DQZv38keGnqjDI7y5NUn+EdMA5lTEaNLQPjqAW1O2E81x/GiHRcBxHlNkgyzGvpipVIILxDZ3vMnwHNZwVQmy3WLt/oNLiabfwtf9jfA5jA0iGgcBZT24481X8Cwyecqy5TgL6nbKlqUtsx5E44W2Mhi3tptjjb2U7B1XEdopYcQKropgljeIBgnnOybYWmQLiEhk1r8nHy+Kn12SEIQsBUEIQgAQhCABavYCINwdxzC443FdW2YlRsPnFNxg9k9+yusdNbSNJx215JCqvlNBj3BlJoa5pa+5ggjaCYjbgq/TyvDufdlhtBPuJjyVh6R41rTpabkXVZo1rrpcbG6jbO3xIusfk2yw0slmGtLW043aL+AHBTaPRzCcWazzeSfy9AoGX1i4aZg8D3qZhMSSJ748xuscqyetiuV5u15P93RT+meVfhXTTH8qpsJ+E8R4beqSZFiAW1QT/QY8Yt7wr9/EKk12Dl/BzYgwe1I/PyXn3R7Lpq6S8hpZUfMQ7SxrnDTMg9poHryVYzNTuvSOjxuWnxW8j7XQ/6K1y3rmOBGpocJ46SZ84PsutbEC91HxOCdTpYeoXOcytTGrUZh8TY8LH2KhNfpDGG56wieYDSR8wmePkTXkvkth8Lbufn/AMJwxaDUpzrc0E8zcCOMc+/uULParaYphgAc6T5LWlQqFnWCPA2kLZ2mM6hrfoMwxEyZlSMnIIk7DdJ8cR1Ze20EBzeU7EefzUno1TfX1U27mPncegKhZJS0aPxWFretFlyzSJqPMAknyViyTEdcZa3+UJuf6j9lWMN0dxdeuG1qfVYdh21N7QH+pO/D1XolKkGgNaAALAAQAFz8+dV0jzvN5E09T3/I2DYWUIShzAQhCABCEIAEIUPH47qgTocY47D14KG0ltgSalMOEESEgzPIN3Ujf+0/QqvZr0urunQRTbNoEkx3lR8l6X1KbqnWF1VsGxNw4RseXNEcp43tFsXKeOvtf9CbMjRUBkeTm/rkleNpGmd5BuDzH3VmFb8ZRNcU9DmujedTQATsO9IM4/4XH+0hw9YPzXZ42dZJ8kei4XIWTTXz7RJyfEXBlTsBiRSpaqpgy50cbkkTyVf6P1gd+/8AXzS7pbmxB6sD/KeFjtCORUynTJ5UzNNP10dM+z99Z2twDmU5Ip30COLouT4JDjOkVSviDWGlpbTFIBoIaAWOaQAdrOd6qJn+ah1QdV2W6dJGwMgyY84SPCOIdq7/AJmAuPyMiuvt9I5mbJNWlPrR7nlmLwuLwTKHWgPZTZYmHNe0RIncTItwKouKrfzqQ4XPiTA+Q91V6jHw7SQCRI3uCYIkbXT/ABOMaepfxbE+BumOFT7T/Ax/htOXUv1v+pKwlT8ViS51mMEAdwMe5klMs3xUN0t9uCiZfR6mlqJ7b+07/wBiTHuuJBdJK6CXR009k3o1kH4vrWmrogN3EzeeY5K9dF+jNLBBx16nO/qMNA7hdeeU6MNMmI4+q3wjjUqtpMcS47Dj4Dy+S4nL5FY8jhLZwefycqyPFvo9ia4G4M+C2SHo5kj6AlzzcfCD2f3T5TDbXaEAQhCsAIQhAAhCEACS9LKNV+Hc2kNRkagNy0bgczt7p0sEqGtohraPIK1ACmZ31WnhJj7JTWbpDgf7ZnvsZTjPsa1zqhaQWmq4g/4gkz4IzjG0G4I06J1vrOa6o8gjTpghg4mCB780l+11sxmddkDB9Ia4pto06r2tAsGnT43AneUyzmq4YS0n/j1EzIBAM33vHqq3qDWDjF/DuU1uZ6qbhNiNLm8HCLefyhMcPL9Knv0O8LlrBk3S6O2S4o3Y25I1DxbMjzBKm1MtoVQKtd8BzWw1pA4XJJ59yQ4FrqT9TTcTHyXLEYhrKjBV/wCNzAASfgc23oQfbxXTyZ8V+Mt7O9yM/HytLe/ktOHy/LwRppscf8pd/wDowp4wGEIj8PR/6MHyCrQw+na4OxC54zOG4cA1X6Z2FyT4AXhM+GOZ7SLPHgmd9IsGO6PU+reaTAAWuBG8BwuWz3gGFRcrzAa2Uns4svNt4gz4K5ZJ0naXATvtPFVX+IWBFKuX0xFOo3WI4G+pvkb+Dgkcup+/E+hDJ/p15Y31+CwuoOc86lLpYedhYLXo3jKeJw7HF7RUa0NqAkAyBZ1+BF/VMa+ZYaiyQ4VX8GsvfvIsAmlyccz5NjE8yJjbZXc8fo0sM8z9J9D6qD0SzWMwoOcYaHR5FpafYrjjc3qCo51YDtGw0+gvyXPLWUzU6wGIk+29+S89nyVeR3r5ODny/Uyuz3ermtBp0uqsB5FwCmArwirm5qBsuOlmprIAsJ8Lk7mV6F/D7NtQdRc8udu2eAAu2OC1x8h09NFFSZdkIQmiwIQhAAhCEACpXTzPSycOwkAgdY7jB/oHeR9O9WLPM6p4Zmp5udmjc/Yd68g6Y54cTVPVshzvewaIJ7uPesc1daRSq+BFnGYkvhscYG/y3KsWD69uG6ipSwuxOol7agM6hqIBad+Oy45NkTaYD3smrvquWtm4jkbbpriML1ZDql5EkAyIDgZE+I91h46XRk8mvQkxGWPAglhG8h1wfRQ6Y6vZzTO+/wBB4pvi8NrLWNuS4wYuRxNthso2Z0WUWEC5c2IPeL+ELPveiU00KMZnYpyKQ11HHjsJ27z7KNmlOq/DNL71GuvEGZnl4hYp1BQqGoWai5v8u8AOiC64mRBXXCVTUZVY/fsuMGReRY/+q22kkxnDSW0JxVq0g0MqEab7kajvcDgouMpPrvD2AuL7EEyR68P1xU7FUS6xOw/b6LahQ6nqydyQ53mYj0Wv1NIPJ9yxmMOQ0MBuIBsbn6BRsyzCoKbqc62X7L7huwBad2nbY+Kb6DMAW5/5cfqlOaYRz5DQb3Fvb2Wc1pmMW1W2Q3ODYA4CfPgmmW6Tu5xcbcfVJ8BQL6vVwZEn/rH3Tujhiy0b7nh4KLlPoM9dpDKtQOkam6mEWbE+c8FGfhoIDWy08QBtsQbJ1hq5LA3TBA58FwNCGuAYbdppmZj9j6rJLRjNaEuUs+JjhMVLdw2+g9VY8qqvZWNVh7TdLh3xuO8fdIsBWaXuNjLp25HhyVhwoEWFzbj+v2WN3vaRskew4asHsa8bOaHDwIldVR8N0pq0wA4NcByEGOQvyVxwWKZVYHsMtP6g8iuhizTfS9l0zuhCFsSCjY3GspCXHwHEnkF2rTpOneDHjFlXqvRRr6gqvqvLtJkEzBI4E7AclSm/hAVTN/573mpbVcH+3kB3dyUYPAsHaaHOINgTtAvbZNMbg3sc5jviG4NgRMyD3iPRc9LNQaLAbXMz9plJOt1oVp9mzqfVMc6HanDc7N/6i/7JTWqCzw8TsQZAPPhseSb47Gl4dTaPEi4VcxuaYej/AMjhq/tAkjxA+sKyfRHiSMLSIc5+zWwAeYIB4bmfol2PqvfUL9Np/tvAsBfbZK6/SCo54dTJawfC2L+Lj9E5o4gVGhxbEuuXE78jHC8yoSa9lnoV5lULgG6CANrcrLtgsO1tE1Ae0LFsXg7e4PqpePwbXw6lctMRFrcPQyuOGwxDTMhx2veAb+8Kfa0iZvxezWuKTaJqOZJ202kk9+4/Xglea1qYqMFSI6sGLxcu9U2zvCHqw3cjS7bje3eYBVYxFKpVqEtYXGw5xyhCa2E012xpleYSdNU6mTDXDfSNp5247prmmNoU2AwXgmAJiLTcpNRphg0wDUPAX07fEfoEpzWhVaR1knkbQRvw2QtUy/kn2WrBtoVWl9IQ4DtCZIHC83H2XfDipMAn6BVzA1nUXNLGiRAeOBncH29JVko5th3baxIm4I2F40oe16RSnsZ4caQWxEjfhfdcKtUUqTiDsCQBsZsPPZRPxrHE9o7Rdp25ePooWJxbnzTYdDBdxIudMGwvxhZ7aXZTRFp5hRDgerLRxh0/NWfAv13EsY0b7EkcFUKxAIN5kEjeRI97pt/5czppskARJ4nhCXrv0Xq3omY+lWZpcDcmZGzRy/XJWnoT0uZS1Mragx0EENsHWFwNpEeir2Ce9wAqO3ueQ7lJGDM3d2eAmJ5dy11UNVPsrNNHtDXSJHFZVb6DY7XQNMntUzEHcNI7PluPJWRdOK8pTGU9oEIWlbVB0xPCdvZWJPPM6ripiKpdMtcWgDk2w+pSXE4idUF2ncmBHlJTTPsNUZWdqbBcSZG0O3jnyVZznFmnTk3cZDRw1E3PkI+S5DVeTYu33oWZ3nb2MIp9kuBA4nx/fj4KmVSbzJcbkmZM8TKdspvqPLn77m3L5cFpjMC0C255LeHroBVh8SQABvt9k6wOY1Ae1cRcEbxz+6h08GQZM24c/wAlMYHECbyfsr1bb9EFhwdX+pkQd43E3j6eSYUzYmGhu5J3PdPuqxjswZQFMOI1EQBcG5Mkx8IiwSXN8XUf2hUc5v8AaT8Mcx9VClsvOF0t7LjmDtTYaQdJBLp37gR4pZjswNGk0aAC+qKYIm7DBLr3kA6ffuTnJ67K9Cm+2pzZIHBws4wdxMrtUysVNEsa4sOppMWNtuWw9Ep9VzeqRVPwemiNlmXFjg0gTYabTvcKH0ow1Mlgd/c8i24bcgyf9RZWKjRhwOmCNwOPgfoqf0irOqVyGSC06Rubz2jB5mfZTibbKRrfYqxFczpi5N+8/oppltFpJDztbeJ5rQZaGnU4y4f2iwm3EpjgaVMbB08zHrCdilS6Cuno6twzGNgOiTJkHy281qQwPLgbxfvi+xG48eKlGkS33sDPHmN/NLqmoES2BsALm+/jZRk01oqmbZZSDMUx7gDpeHxc6ry3bhsU1rVw57qrqbe24uJAIu4yTwj0XF7YdRtfq2AnkYKxh60WPwn9T4pRfr8F2/glASA4AgTF/hnlO0qTi3tIG44KxZdh+rw9PrBDHNvqs2dzv5qDiMpY7/jqMjhJ27hG4Wl7ei7xtIl/w/cW4kgHsvYQQbXbBHmL+RK9FVA6DUC3EuDoBawgAD4pIvPEQr+m+P1BpHoyo+NxrKQ1VHAD5qQk3SbK3V2N0btJMbSCII8dltbaW0XKNneZvqVnVHOlvwsaBYNBsTPEi58UnzE/iGt60imxmoMiJIcbknvgXTHMaPa6vSQ4kNg99kszFlR7iQJhx5Ei8RfhC5t9vZGZJJaI9PLMOBIDhb4tQ25wuVfJrNfTJew3kfbmu2No2aTAEXnj3AfZR8BiXU3FrQdJjUCd+8cj6qyl66Ftr5OrMsZYuBc48JgeA5rStUbS+IMptETAMwTzi081MrYxw/lmS34ieIsYjw+ajdIKTn4dzqZALYdMi7R8QI4Dj5LNeTpKujWMk71oqXSHoi5zuto1Gv1jW2nPaLe4n4o9uKrP4osJa6ZFiCIPom1XMKoaKdQxpdqY4WLTxgjge5Qc2xYrQ6pAqCxI/q5HxXQjyX20Mde0Ssux80TTBu12pvdzjz+asFPpNVbTcNWpwpsLdQBM31bjwVGbig34Y7jxTPLM66t+tkatOkEgEtPAwVW8KfegTT6Zdcmz3E1WB2vmCA1ogyY4TsR6qdUaZLnTrO7v22KRUemjxS/+zQ6wSO20NY//AGH2O87hM82zM/h/xOCP4iltVBlr6Pc5m4/2kjjcJd46l/ahe8T8ujd7IDXCLSD8x8ypGGpB21ncuB8O9RWV2OY17CHNIsRe1/rIITanSYWgtsYBRN+Jg0dsLWbp0kQ4T4qv4y5cYMA2ncSbzIvzTDMnG0uuST3879yUOqOLu0SSDIk+ZseFlNv5BIdYN2uCNtIEf6CPWyziqxYyS3YxH+XARy/NQcL0g0gGpSbJ+Is7J8YMgqVQxeGqVAesqNdeBUEt2MwRMWnkknPkbrF93sejpNi8Rh3MrsphhgNLWkEukWF4iJnxC1pYYRdPcryBtelqD26myGt/p5zI5k+ygYzDVaTtNWmW8iLtPgRZbuaaVM0pHbo5IxNIN/uPpBn2lekBUfoVhdVd1WOyxpAP+Rj6T6q8Jvib8Nv9QXoEIWE0SJekWVsforbPpODp5tBkg/NUzpBlop1327E65HEOM+vDyXpdRgcCDsQQfAql9LsA8UmPDZ6uWPPMD4HHmI3S2eFraKZFuSu18M1zZAsf1FkuwWE0dp9gD+367lLw2I1NhxJsdrDewEIo4SYGwkm/HgPkUvjfQqyD+FMk7xPupDqEtDdIgjT33EXgg81JfDNQJ4GB4D9lpl9Eve3jpuT3cB4ySs6bqtl8UOrS/JSq/RSs2wLXt5FLK/RipN6cDxBHvdesV8OqtmeEDqnamdo4DlsJW05rXo7ebHhlbr+BTf8A4lP9PpI+Uplg+h4Gl1T4Wjst4atyXW2CuOT5FHadpk/CBJjzK59MmaGMpNHx3P8AqDAHmZPkpvJdtShOVHtJlGzLIatep2AOrFpcSNXlGybZBkFbDvFSnUDSLENEhzeLXTu0+ClZRX0nqz/6k8fzVgpqHkqV4j8YMb+72Kcfg6VL/iBaKrtRZJLWG0gcmm22yiUaz2yOfHaLCR7AJxi6Gp4B4Nkd97pHhsQ57yySA1xAAtIFr98XVIfls5OeU8lJE3EjUBvYATx757pXLGhzaWs03QCAHBp0wR2jMcl6j0MwLW4dri0anEkkgE72E9yfYnCsq030njsPaWEC1iIMclr9HyRWcWvZ8+1HCYgGfr+vddcsyerWqhtNhc8usBwg7k/0jmvYMs6AYSk9tQ66haZaHlpaDwsGib3urVRwzGyWsa2TJgASTuTG5VMXEa7pl9HnjcC6m00yNuB7ky6K1iyqBJ0uBab2m0H6eatuKwTH3cLjjxSXHZT1fbZcce7v8FesLl+SLN7LEAsrnQqBzQ4cQuicRBhZQhSALV7ARBEg8CtkIAqGa9EIl2GdpN+wdr/2ngq9VyTFNDh1boH9WwEcZPCJXqCof8Ts9NKn1TDBO/0H1S2THEryJx8dZb0irYZjalXq9bQ7lIcQAL7ce5WfDYRtNsNHieJXluTYgsrMq8nexsfYq9Z7nRpU2Fhu53IGABffySbrR0J4+PjS79jeoxKczwM9po7TSD4wdkrZ0sqBoLmNde5Bg+l07wuNNRurqqrTxa5jhHmbEKPJFXycOReLJ+T16btb2kFrGknxgwDy4qv9MKN6RO4YwerdR9yVYGYANpVWM7JqmXGJvbhItbbvKrPT3E1KRplrA9rgGFxJGkgCBYcQPYq8Xqtim0ittoEHcRMib+asuFdLRO5ASTKKDqgLndkAxA97p421lbJap7HuMqa38Ga+7bbyPCQEvyjLCaz3O2ER4n9FMnXjmDI+3mjE4kUWOdxMn7KkvTF8uB1n1+o56JdKWOr1MIYhjtLD3gXB85V6avmTo3jnDEh03c4mfEz84X0hlOK6ykx/FzRPjx903jfwwzwlpoZMXVcmFdVuhZmVghZQpIOOGw4YCG7STHKTJjuXZCEaAELCFIGULCygAK8Y/iY4urH/AGd7WHyXsy8y/iJlZLnGOOseB3S3J/ZQ5wn97/2PNNgrS2ka1JjuQvMbG/HiqvXN4A4wnfRrMBpgSACQZM/r8kjc7Wx3Lj+rjeNe3/I51sIdXV2mJuLfaVZOhuYPaalCo4ktALeUTBHhcKDmGDEa2XM7g7D6pLh81fhsT1gaHHaHSQQYtv3SsXuX+Dz+nL1Xs9CfmDqb9L2HQbtcOA5EeK74ugyszg5p8CDG3oqq7pvVedLqVIDjueKxhM8JcR1ek3jQ4gehkH0VpVe12jRXpkjE0Sw6YAjaBAhcApP/AJEVZY9ulw2Iv5JPisaW2srt+Ps7nFyrNOl7GD6oAUjL6NLG030ati34S0gODSO/e6qeJzOJvJSVmf1qFVtWkYdMRuHDi0jiCrY3uvXRrnhKPyWKv0DqYPEMqBwqUJs7ZzTBIDh5bj2XrfRlpbh6YPKfUkqq4DMn4pjWGmWF4Be0ukMuDYgCVd8I0AADYAAeScjTraOZm2oU17GNJd1yprqmEKGUIQpAFhCFIGUIQgDCFlYQBlLc7y0Vmf5Db7JihVqVS0y005e0eF9K+i72lzqbeepvEeHd3Kp5PiiyRcaT89/f5r6SzHLWVBcQ7n+t1QukPQqk92p7IcNntsfPn5pK8VQtPtHUxcibaa6ZU8LmexBv7Fcsdh21duy7cRsTw/QXbFdDKzDNF7XDkbFLvwOOo1WP6hzmiZAg+BAncbhJuG3oZz48WSG6nb/iRMO0g3F+M91k8pHSHGLyD4Hf7rg7LzTdJBuNyPVTKFEzG8gLWF1o81S09HSjT7Ug8Zjjfkqvm2N1VHlu02Vkx+CrOGimA2RDnONx3ADzlRML0TbvUcXdwsPuimn0dfgYKxp3XWyqUdVV2mmC8914+ytGQdFNLhUq9p/Af0t+571YMuy6mzsUWAdzR8yrblGSn4nbrWMdV+Eb5c8wv1ZjJMu0ja5Vjw1GFvh8JCltZCcmFK0jl3bp7ZhjVuFlC0MwQsIUgCFlCABCEIAEIQgDCyhCAMQudWkDuuqwgNiTF5K03bbw+yVV8oqjYyrcVxqLGsUP4GIz3PyUivgKhs5kj1UZmWOb8NI+n3V4qLmqf5eC75FN7aWynDK6x2bHifspeG6Mvd8bj4Cw+6tTFLpq04pXpFaz2/kWZfkjKYsAmrKQC3CytUhdvYIQhWIMIWUIAEIQgAQhCAP/2Q=="
Dieffenbachia or Dumbcane ,Dieffenbachia ,I ,M ,M ,60-65,1-3,50-60,40-50,1,0,0,0,1,0,1,0,Other,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRiyLwZnzchv5xncX8MUl8wmfm9SIxYdfLqROXbuNEI2XiTV7IU&s
